,Price,Levy,Manufacturer,Model,Age Of Car,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
0,13328,1399.0,LEXUS,RX 450,10,4,1,2,3.5,186005,6,0,0,4-5,0,12,12
1,16621,1018.0,CHEVROLET,Equinox,9,4,0,5,3,192000,6,2,0,4-5,0,1,8
2,8467,906.8381278879118,HONDA,FIT,14,3,0,5,1.3,200000,4,3,1,4-5,1,1,2
3,3607,862.0,FORD,Escape,9,4,1,2,2.5,168966,4,0,0,4-5,0,14,0
4,11726,446.0,HONDA,FIT,6,3,1,5,1.3,91901,4,0,1,4-5,0,12,4
5,39493,891.0,HYUNDAI,Santa FE,4,4,1,1,2,160931,4,0,1,4-5,0,14,4
6,1803,761.0,TOYOTA,Prius,10,3,1,2,1.8,258909,4,0,1,4-5,0,14,12
8,1098,394.0,TOYOTA,Camry,6,9,1,2,2.5,398069,4,0,1,4-5,0,1,12
9,26657,906.8381278879118,LEXUS,RX 350,13,4,1,5,3.5,128500,6,0,0,4-5,0,12,12
11,8781,906.8381278879118,FORD,Transit,21,6,0,0,4,0,8,1,2,2-3,0,2,0
12,3000,906.8381278879118,OPEL,Vectra,23,2,0,0,1.6,350000,4,1,1,4-5,0,14,4
13,1019,1055.0,LEXUS,RX 450,7,4,1,2,3.5,138038,6,0,1,4-5,0,14,12
14,59464,891.0,HYUNDAI,Santa FE,4,4,1,1,2,76000,4,0,1,4-5,0,14,4
16,7683,810.0,HYUNDAI,Elantra,4,9,1,5,1.8,121840,4,0,1,4-5,0,2,12
17,28382,810.0,HYUNDAI,Elantra,4,9,1,5,1.8,54317,4,0,1,4-5,0,14,4
20,18826,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,112645,4,0,1,4-5,0,12,4
21,20698,586.0,TOYOTA,Prius,8,9,1,6,1.8,187000,4,0,1,4-5,0,14,12
22,17562,1249.0,TOYOTA,Camry,3,9,1,5,2.5,39709,4,0,1,4-5,0,1,12
23,7840,906.8381278879118,FORD,Transit,19,6,0,1,2.0 Turbo,230000,4,1,1,2-3,0,14,0
24,4704,906.8381278879118,OPEL,Vectra,25,9,0,5,1.8,0,4,0,1,4-5,0,6,4
25,20385,906.8381278879118,MERCEDES-BENZ,E 220,14,9,1,1,2.2 Turbo,210000,4,2,2,4-5,0,1,8
28,14454,583.0,HYUNDAI,Elantra,9,9,1,5,1.6,158787,4,0,1,4-5,0,12,4
29,12074,1537.0,TOYOTA,Highlander,11,4,1,2,3.3,420550,6,0,0,4-5,0,2,12
30,15681,1288.0,MERCEDES-BENZ,Vito,13,2,0,1,2.0 Turbo,180000,6,1,2,4-5,0,14,4
31,19444,915.0,PORSCHE,Cayenne,6,4,1,1,3,175056,6,0,0,4-5,0,14,12
32,6899,906.8381278879118,BMW,X5,20,4,1,0,4.4,200000,8,0,0,4-5,0,12,6
